id,linearization
1,93.220198
2,70.363563
3,104.890797
4,77.971717
5,100.261598
6,63.959752
7,82.311705
8,102.797086
9,115.496929
10,68.544459
11,90.829093
12,82.179825
13,93.348172
14,96.056609
15,88.319606
16,70.077002
17,51.214242
18,52.808552
19,53.928050
20,63.715190
21,71.332267
22,70.034548
23,58.281100
24,80.203631
25,62.763971
26,61.675426
27,59.971162
28,52.398383
29,68.055780
30,78.997328
31,68.001984
32,56.388648
